"...1","ContactID","Country of Programming","Gender","Nationality","Speaks.English","Speaks.Arabic","Speaks.Amazigh","Speaks.French","Age","Beneficiary.Specialization","Level.of.Education","Highest.Education.Graduation.Date","Currently.Studying","Current.Institution.Type","EFE.Graduation.Date","X..of.Days.Since.Graduation","Mailing.City","Mailing.State.Province","Last.Reached.By.Survey","Number.Days.Until.Job.Placement","Earliest.Job.Placement.Start.Date","Earliest.Job.Placement.Type","Retained.Job.as.of.last.Status.Check","Number.Days.Retained.Job","Continuously.Working","X..Of.Days.Continuously.Working","pl_grad","pl_grad_data","pl_3","pl_3_data","pl_6","pl_6_data","pl_9","pl_9_data","pl_12","pl_12_data","X3.Month.Job.Retention","X3.Month.Continuously.Working","X3.Month.Post.Placement.Data.Avail.YES","X6.Month.Job.Retention","X6.Month.Continuously.Working","X6.Month.Post.Placement.Data.Avail.YES","X9.Month.Job.Retention","X9.Month.Continuously.Working","X9.Month.Post.Placement.Data.Avail.YES","X12.Month.Job.Retention","X12.Month.Continuously.Working","X12.Month.Post.Placement.Data.Avail.YES","Contact.Record.Type.y","Application.Status","Application..Created.Date","Program.would.you.like.to.apply.","Marital.Status","Expected.Graduation.Date","Currently.Working.","Currently.Looking.for.Job.","Duration.Looking.for.Job","Main.Obstacle.to.Secure.Job","Other.Obstacle","Current.Position.Type","Current.Contract.Type","Other.Contract.Type..Current.","Fixed.Term.Contract.Length..Current.","Current.Business.Start.Date","How.Created.Current.Business","Current.Business.Registered.","Business.Generating.Revenue.","Has.Had.Internship","Current.Internship.Start.Date","Has.Had.Paid.Job","Current.Employment.Start.Date","Received.Prior.Prof.Skills.Training.","Motivation.for.Training","Other.Motivation.for.Training","How.Learned.of.EFE","X1st.Preferred.Industry.of.Employment","X2nd.Preferred.Industry.of.Employment","Preferred.Industry.Other","Commit.to.Participation...Attendance","Number.Family.Members","Number.Family.Members.Working","Monthly.Family.Income","Previous.Work.Experience","Number.of.Previous.Jobs","Job.Tenure.in.Months..First.","First.Previous.Job.Salary","Reason.Left.Job..First.","Job.Tenure.in.Months..Second.","Second.Previous.Job.Salary","Reason.Left.Job..Second.","Job.Tenure.in.Months..Third.","Third.Previous.Job.Salary","Reason.Left.Job..Third.","Received.Other.Scholarship.","Scholarship.Details","Registered.Under.Social.Security","Internally.Displaced.Person.","Lives.in.IDP.camp.or.shelter.","Against.attending.training.online.","Strength.of.Applicant.Internet","Against.working.in.mixed.environment.","Years.of.Experience","English.Proficiency","Computer.Proficiency","NumApps","months_job","sorting","Retention_6_months","Retention at 6 Months","Retention_3_months","Retention at 3 Months","Retention_9_months","Retention at 9 Months","Retention_12_months","Retention at 12 Months","ConfidencePost","ConfidencePre","ConfidenceChange","ConfidencePercent","EfficacyPost","EfficacyPre","EfficacyChange","EfficacyPercent"
11,4157,"Tunisia Beneficiary","Male","Tunisia",0,1,0,1,30,"No Specialization or specific area of study","University Degree",2014-09-30,0,"NA",2022-02-05,257,NA,"Médenine",2022-08-12 07:37:00,-25,2022-01-11,"Full-time",0,202,1,213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Tunisia Beneficiary","Enrolled",2022-01-26,"Job Training and Placement",NA,NA,"No","Yes","4-6 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Improve Professional Skills",NA,"Other","Retail",NA,NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
12,1916,"Morocco Beneficiary","Female","Morocco",0,1,0,0,38,NA,"Less than Niveau Bac",NA,0,"NA",2021-05-29,509,"Other AL HOCEIMA","Tanger-Tétouan-Al Hoceïma",2021-06-18 07:05:00,2,2021-05-31,"Full-time",1,18,1,18,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,"Morocco Beneficiary","Enrolled",2021-05-28,"Pathways to a Job",NA,NA,"No","Yes","7-9 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"Yes","Help Me Find a Job",NA,"ANAPEC","Electronics / Automotive / Aerospace","Electronics / Automotive / Aerospace",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,0,"No",0,"No",0,"No",NA,"Data Not Available",23,12,11,91.67%,24,16,8,50.00%
13,4693,"Egypt Beneficiary","Male","Egypt",0,1,0,0,25,"Advertising/Marketing/Public Relations","University Degree",2019-05-28,0,"NA",2022-03-01,233,NA,"Suez",2022-07-06 08:01:00,28,2022-03-29,"Full-time",1,99,1,99,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Egypt Beneficiary","Enrolled",2022-02-26,"Job Training and Placement","Single",NA,"No","Yes","3 Months or Less","Insufficient job search resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes",NA,"No","Improve Professional Skills",NA,"EFE Alumni","Advertising/Marketing/PR","Advertising/Marketing/PR",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 3 Months",2,NA,"Data Not Available",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
14,2719,"Jordan Beneficiary","Male","Syria",1,1,0,0,25,"Engineering","Vocational diploma",2016-12-01,0,"NA",2021-10-03,382,NA,"West Amman",2022-10-18 04:32:00,271,2022-07-01,"Self-Employed/Own Business",1,109,1,109,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Jordan Beneficiary","Enrolled",2021-09-03,"Job Training and Placement","Single",NA,"No","Yes","4-6 Months","Insufficient professional experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Work in Field That This Training is Focused",NA,"Facebook","Cuisine",NA,NA,"Yes",6,1,350,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 9 Months",4,NA,"Data Not Available",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
15,1923,"Morocco Beneficiary","Female","Morocco",0,1,0,0,28,NA,"Less than Niveau Bac",NA,0,"NA",2021-05-29,509,"Kénitra","Rabat-Salé-Kénitra",2022-06-01 08:21:00,2,2021-05-31,"Full-time",1,366,1,366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Morocco Beneficiary","Enrolled",2021-05-28,"Pathways to a Job",NA,NA,"No","Yes","10-12 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"Yes","Help Me Find a Job",NA,"ANAPEC","Electronics / Automotive / Aerospace","Electronics / Automotive / Aerospace",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,1,"Yes",1,"Yes",1,"Yes",1,"Yes",23,20,3,15.00%,25,23,2,8.70%
16,3843,"Morocco Beneficiary","Male","Morocco",0,1,0,1,29,"Social Sciences","Niveau Bac / Bac",2014-07-18,0,"NA",2022-01-02,291,"Tangier","Tanger-Tétouan-Al Hoceïma",2022-04-11 09:55:00,1,2022-01-03,"Full-time",1,98,1,98,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-12-30,"Pathways to a Job",NA,NA,"No","Yes","7-9 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes",NA,"Yes","Learn how to prepare for interviews",NA,"ANAPEC","Electronics / Automotive / Aerospace","Electronics / Automotive / Aerospace",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,NA,"Data Not Available",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",25,20,5,25.00%,25,21,4,19.05%
17,2702,"Jordan Beneficiary","Male","Syria",0,1,0,0,25,NA,"Below Tawjihi",NA,0,"NA",2021-10-03,382,NA,"Zarqa",2022-10-18 04:23:00,180,2022-04-01,"Full-time",1,200,1,200,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Jordan Beneficiary","Enrolled",2021-09-03,"Job Training and Placement","Single",NA,"No","Yes","4-6 Months","Insufficient professional experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"No","Work in Field That This Training is Focused",NA,"Facebook","Cuisine",NA,NA,"Yes",7,2,360,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 6 Months",3,1,"Yes",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
18,1850,"Morocco Beneficiary","Female","Morocco",0,1,0,0,25,"No Specialization or specific area of study","Niveau Bac / Bac",2014-07-31,0,"NA",2021-05-22,516,"Tangier","Tanger-Tétouan-Al Hoceïma",2021-11-03 04:36:00,2,2021-05-24,"Full-time",0,130,0,130,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,"Morocco Beneficiary","Enrolled",2021-05-24,"Pathways to a Job",NA,NA,"No","Yes","4-6 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"Yes","Improve Professional Skills",NA,"ANAPEC","Electronics / Automotive / Aerospace","Electronics / Automotive / Aerospace",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,0,"No",1,"Yes",0,"No",0,"No",24,17,7,41.18%,24,19,5,26.32%
20,1921,"Morocco Beneficiary","Female","Morocco",0,1,0,0,33,NA,"Less than Niveau Bac",NA,0,"NA",2021-05-29,509,"Other CHEFCHAOUEN","Tanger-Tétouan-Al Hoceïma",2021-06-18 07:08:00,2,2021-05-31,"Full-time",1,18,1,18,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,"Morocco Beneficiary","Enrolled",2021-05-28,"Pathways to a Job",NA,NA,"No","Yes","7-9 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"Yes","Help Me Find a Job",NA,"ANAPEC","Electronics / Automotive / Aerospace","Electronics / Automotive / Aerospace",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,0,"No",0,"No",0,"No",NA,"Data Not Available",24,19,5,26.32%,25,25,0,0.00%
21,3954,"Morocco Beneficiary","Female","Morocco",1,1,0,1,21,"Other","Bac+3",2019-07-13,0,"NA",2021-12-16,308,"Other Sidi Kacem","Rabat-Salé-Kénitra",2022-04-18 06:44:00,29,2022-01-14,"Full-time",1,94,1,94,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Morocco Beneficiary","Enrolled",2021-12-16,"Job Training and Placement",NA,2023-08-12,"No","Yes","3 Months or Less","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No",NA,"No","Improve Professional Skills",NA,"Facebook","Secretarial/Office Work",NA,NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 3 Months",2,NA,"Data Not Available",1,"Yes",NA,"Data Not Available",NA,"Data Not Available",NA,NA,NA, NA,NA,NA,NA, NA
22,1843,"Morocco Beneficiary","Female","Morocco",0,1,0,1,22,"No Specialization or specific area of study","Niveau Bac / Bac",2019-07-31,0,"NA",2021-05-22,516,"Tangier","Tanger-Tétouan-Al Hoceïma",2021-11-03 04:59:00,2,2021-05-24,"Full-time",1,163,1,163,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,"Morocco Beneficiary","Enrolled",2021-05-24,"Pathways to a Job",NA,NA,"No","Yes","4-6 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"Yes","Improve Professional Skills",NA,"ANAPEC","Electronics / Automotive / Aerospace","Electronics / Automotive / Aerospace",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,0,"No",1,"Yes",0,"No",NA,"Data Not Available",22,15,7,46.67%,25,19,6,31.58%
24,1918,"Morocco Beneficiary","Female","Morocco",0,1,0,0,28,NA,"Less than Niveau Bac",NA,0,"NA",2021-05-29,509,"Other CHEFCHAOUEN","Tanger-Tétouan-Al Hoceïma",2021-11-04 04:37:00,2,2021-05-31,"Part-time",1,157,1,157,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,"Morocco Beneficiary","Enrolled",2021-05-28,"Pathways to a Job",NA,NA,"No","Yes","7-9 Months","Lack of job opportunities in the market",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"Yes","Help Me Find a Job",NA,"ANAPEC","Electronics / Automotive / Aerospace","Electronics / Automotive / Aerospace",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at Graduation",1,0,"No",1,"Yes",0,"No",NA,"Data Not Available",23,19,4,21.05%,25,25,0,0.00%
26,1911,"Morocco Beneficiary","Female","Morocco",0,1,0,0,20,"No Specialization or specific area of study","Niveau Bac / Bac",2020-07-31,0,"NA",2021-06-01,506,"Tangier","Tanger-Tétouan-Al Hoceïma",2022-06-27 06:43:00,36,2021-07-07,"Full-time",1,355,1,355,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,"Morocco Beneficiary","Enrolled",2021-05-28,"Pathways to a Job",NA,NA,"No","Yes","7-9 Months","Insufficient professional experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No",NA,"Yes","Help Me Find a Job",NA,"ANAPEC","Electronics / Automotive / Aerospace","Electronics / Automotive / Aerospace",NA,"Yes",NA,NA,NA,NA,"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Placed at 3 Months",2,1,"Yes",1,"Yes",1,"Yes",NA,"Data Not Available",25,20,5,25.00%,25,20,5,25.00%
